Date,Time,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
01/01/2001,09:00:00 AM,075XX S PHILLIPS AVE,DECEPTIVE PRACTICE,RESIDENCE,0,0,0421,004,7,43,NA,NA,2001,NA,NA,NA
05/23/2001,12:00:00 PM,019XX N CLYBOURN AVE,DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,0,0,1811,018,43,7,NA,NA,2001,NA,NA,NA
05/01/2001,12:00:00 AM,064XX S MAPLEWOOD AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,1,1,0825,008,16,66,NA,NA,2001,NA,NA,NA
12/01/2001,09:00:00 AM,001XX W 126TH PL,THEFT,RESIDENCE,0,0,0523,005,9,53,1177893,1821142,2001,41.66452682,-87.624632395,"(41.66452682, -87.624632395)"
02/06/2001,12:01:00 AM,007XX E PERSHING RD,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,0212,002,4,36,NA,NA,2001,NA,NA,NA
09/01/2001,12:01:00 AM,042XX W ADDISON ST,THEFT,RESIDENCE,0,0,1731,017,30,16,1147656,1923555,2001,41.946192609,-87.732669068,"(41.946192609, -87.732669068)"
01/05/2001,09:00:00 AM,021XX S MICHIGAN AVE,DECEPTIVE PRACTICE,CREDIT UNION,0,0,0134,001,2,33,1177577,1890239,2001,41.85414395,-87.623702902,"(41.85414395, -87.623702902)"
08/01/2001,12:00:00 PM,016XX W 92ND ST,THEFT,APARTMENT,0,0,2221,022,21,73,1166789,1843641,2001,41.726511219,-87.664629194,"(41.726511219, -87.664629194)"
12/21/2001,10:30:00 PM,048XX S BISHOP ST,CRIMINAL DAMAGE,STREET,0,0,0933,009,20,61,1167439,1872794,2001,41.806497002,-87.661413947,"(41.806497002, -87.661413947)"
02/13/2001,09:00:00 AM,028XX W 84TH PL,THEFT,RESIDENCE,0,0,0835,008,18,70,1158471,1848560,2001,41.740183049,-87.694965425,"(41.740183049, -87.694965425)"
03/10/2001,12:00:00 AM,062XX S KOMENSKY AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,0813,008,23,65,NA,NA,2001,NA,NA,NA
11/30/2001,12:00:00 AM,048XX S THROOP ST,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,0933,009,20,61,NA,NA,2001,NA,NA,NA
07/01/2001,09:00:00 AM,088XX S EMERALD AVE,DECEPTIVE PRACTICE,RESIDENCE,0,0,2223,022,21,71,NA,NA,2001,NA,NA,NA
11/01/2001,09:00:00 AM,027XX N CENTRAL PARK AVE,DECEPTIVE PRACTICE,RESIDENCE,0,0,2524,025,35,22,NA,NA,2001,NA,NA,NA
01/01/2001,12:00:00 AM,056XX S WOLCOTT AVE,THEFT,APARTMENT,0,0,0715,007,15,67,1164699,1866938,2001,41.790485769,-87.671628682,"(41.790485769, -87.671628682)"
01/03/2001,12:00:00 AM,021XX N MULLIGAN AVE,THEFT,RESIDENCE,0,0,2512,025,29,19,1133767,1913726,2001,41.919476449,-87.783952789,"(41.919476449, -87.783952789)"
01/01/2001,12:00:00 PM,048XX S THROOP ST,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,0933,009,20,61,NA,NA,2001,NA,NA,NA
04/01/2001,12:40:00 AM,014XX S RIDGEWAY AVE,BATTERY,RESIDENCE,0,1,1011,010,24,29,NA,NA,2001,NA,NA,NA
09/23/2001,09:11:00 PM,053XX W POTOMAC AVE,BATTERY,SIDEWALK,0,1,2532,025,37,25,NA,NA,2001,NA,NA,NA
09/25/2001,03:50:00 AM,017XX W 90TH PL,CRIMINAL DAMAGE,RESIDENCE,0,0,2221,022,21,73,NA,NA,2001,NA,NA,NA
02/01/2001,12:00:00 AM,001XX N HARBOR DR,DECEPTIVE PRACTICE,APARTMENT,0,0,0114,001,42,32,NA,NA,2001,NA,NA,NA
09/25/2001,12:00:00 AM,040XX N KIMBALL AVE,OFFENSE INVOLVING CHILDREN,APARTMENT,0,1,1724,017,33,16,NA,NA,2001,NA,NA,NA
01/01/2001,12:01:00 AM,025XX S LAWNDALE AVE,THEFT,RESIDENCE,0,0,1013,010,22,30,1152075,1886706,2001,41.844989168,-87.717398511,"(41.844989168, -87.717398511)"
01/01/2001,11:59:00 PM,007XX E 61ST ST,THEFT,RESIDENCE,0,0,0313,003,20,42,1182165,1864764,2001,41.784133376,-87.607653053,"(41.784133376, -87.607653053)"
12/12/2001,05:58:00 PM,014XX N LEAMINGTON AVE,BATTERY,RESIDENCE,0,1,2533,025,37,25,NA,NA,2001,NA,NA,NA
02/13/2001,03:00:00 PM,058XX W RACE AVE,SEX OFFENSE,RESIDENCE,1,0,1512,015,29,25,NA,NA,2001,NA,NA,NA
09/22/2001,12:00:00 PM,040XX S FRANCISCO AVE,THEFT,RESIDENCE,0,0,0912,009,14,58,1157738,1877399,2001,41.819336321,-87.696869003,"(41.819336321, -87.696869003)"
09/29/2001,11:00:00 PM,082XX S COTTAGE GROVE AVE,BATTERY,APARTMENT,0,1,0631,006,6,44,NA,NA,2001,NA,NA,NA
03/02/2001,12:30:00 AM,036XX W DOUGLAS BLVD,MOTOR VEHICLE THEFT,STREET,0,0,1011,010,24,29,NA,NA,2001,NA,NA,NA
10/13/2001,12:00:00 AM,003XX S HOMAN AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,1,1,1134,011,28,27,NA,NA,2001,NA,NA,NA
03/01/2001,10:09:00 AM,034XX W MONROE ST,DECEPTIVE PRACTICE,RESIDENCE,0,0,1123,011,28,27,NA,NA,2001,NA,NA,NA
01/01/2001,12:00:00 AM,045XX N CENTRAL PARK AVE,CRIMINAL SEXUAL ASSAULT,RESIDENCE,0,0,1723,017,33,14,NA,NA,2001,NA,NA,NA
12/14/2001,12:01:00 AM,043XX S CALIFORNIA AVE,CRIMINAL SEXUAL ASSAULT,RESIDENCE,0,0,0922,009,12,58,NA,NA,2001,NA,NA,NA
01/01/2001,12:01:00 AM,020XX N LOREL AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,2515,025,36,19,NA,NA,2001,NA,NA,NA
11/02/2001,01:00:00 PM,037XX W 55TH ST,THEFT,COMMERCIAL / BUSINESS OFFICE,0,0,0822,008,23,62,NA,NA,2001,NA,NA,NA
08/17/2001,03:00:00 PM,025XX N SAYRE AVE,THEFT,STREET,0,0,2512,025,36,18,NA,NA,2001,NA,NA,NA
10/31/2001,06:00:00 PM,043XX S ALBANY AVE,CRIMINAL DAMAGE,STREET,0,1,0922,009,12,58,NA,NA,2001,NA,NA,NA
09/06/2001,12:00:00 PM,010XX W TAYLOR ST,THEFT,RESIDENCE,0,0,1232,012,25,28,NA,NA,2001,NA,NA,NA
03/06/2001,07:47:00 PM,038XX W MADISON ST,CRIMINAL DAMAGE,STREET,0,0,1122,011,28,26,NA,NA,2001,NA,NA,NA
08/17/2001,10:51:00 AM,003XX N JEFFERSON ST,OTHER OFFENSE,RESIDENCE,0,0,1214,012,42,28,NA,NA,2001,NA,NA,NA
09/01/2001,12:01:00 AM,005XX N CENTRAL AVE,DECEPTIVE PRACTICE,RESTAURANT,0,0,1512,015,29,25,NA,NA,2001,NA,NA,NA
02/26/2001,06:00:00 AM,030XX S KEELER AVE,OTHER OFFENSE,APARTMENT,0,0,1031,010,22,30,NA,NA,2001,NA,NA,NA
05/07/2001,10:52:00 PM,004XX N LA SALLE DR,CONCEALED CARRY LICENSE VIOLATION,STREET,1,0,1831,018,42,8,NA,NA,2001,NA,NA,NA
01/01/2001,12:00:00 PM,093XX S ELIZABETH ST,CRIMINAL SEXUAL ASSAULT,RESIDENCE,0,1,2222,022,21,73,NA,NA,2001,NA,NA,NA
07/30/2001,01:30:00 PM,049XX S CAMPBELL AVE,BATTERY,RESIDENCE - GARAGE,0,0,0923,009,14,63,NA,NA,2001,NA,NA,NA
08/21/2001,02:30:00 AM,033XX N HALSTED ST,THEFT,STREET,0,0,1925,019,44,6,NA,NA,2001,NA,NA,NA
09/23/2001,08:00:00 AM,044XX S COTTAGE GROVE AVE,THEFT,APARTMENT,0,0,0221,002,4,38,NA,NA,2001,NA,NA,NA
01/01/2001,02:00:00 PM,071XX S EAST END AVE,DECEPTIVE PRACTICE,RESIDENCE,0,0,0324,003,7,43,NA,NA,2001,NA,NA,NA
01/01/2001,12:00:00 AM,029XX E 77TH ST,CRIMINAL SEXUAL ASSAULT,RESIDENCE,0,1,0421,004,7,43,NA,NA,2001,NA,NA,NA
08/01/2001,12:00:00 PM,011XX E 47TH ST,OTHER OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,1,0222,002,4,39,NA,NA,2001,NA,NA,NA
06/25/2001,10:32:00 AM,089XX S BRANDON AVE,SEX OFFENSE,RESIDENCE,0,1,0424,004,10,46,NA,NA,2001,NA,NA,NA
09/03/2001,12:00:00 AM,055XX N MASON AVE,DECEPTIVE PRACTICE,RESIDENCE,0,0,1622,016,45,11,NA,NA,2001,NA,NA,NA
12/01/2001,05:00:00 PM,029XX W LYNDALE ST,SEX OFFENSE,APARTMENT,0,0,1414,014,1,22,NA,NA,2001,NA,NA,NA
01/06/2001,11:00:00 AM,027XX N ARTESIAN AVE,THEFT,APARTMENT,0,0,1411,014,35,22,NA,NA,2001,NA,NA,NA
03/03/2001,08:16:00 AM,007XX N SACRAMENTO BLVD,THEFT,OTHER (SPECIFY),0,0,1221,012,27,23,NA,NA,2001,NA,NA,NA
06/04/2001,09:00:00 AM,054XX S INGLESIDE AVE,THEFT,RESIDENCE,0,0,2131,002,4,41,1183492,1869598,2001,41.797367448,-87.602637187,"(41.797367448, -87.602637187)"
01/31/2001,12:00:00 AM,052XX W BERENICE AVE,THEFT,OTHER,0,0,1634,016,38,15,1140591,1925051,2001,41.950430699,-87.758601144,"(41.950430699, -87.758601144)"
10/20/2001,12:30:00 PM,103XX S INDIANA AVE,THEFT,RESIDENCE,0,0,0512,005,9,49,1179447,1836480,2001,41.706581312,-87.618479678,"(41.706581312, -87.618479678)"
01/01/2001,12:01:00 AM,077XX S EVANS AVE,THEFT,RESIDENCE,0,0,0624,006,6,69,1182532,1853610,2001,41.753517201,-87.606653019,"(41.753517201, -87.606653019)"
10/08/2001,12:00:00 PM,021XX N KEDZIE AVE,OFFENSE INVOLVING CHILDREN,APARTMENT,1,1,1413,014,26,22,1154650,1914168,2001,41.920296594,-87.707213249,"(41.920296594, -87.707213249)"
10/25/2001,12:00:00 PM,058XX N MILWAUKEE AVE,OTHER OFFENSE,BANK,0,0,1622,016,45,10,1135234,1938367,2001,41.987067944,-87.777976053,"(41.987067944, -87.777976053)"
06/05/2001,12:00:00 AM,060XX N RIDGE AVE,THEFT,RESIDENCE,0,0,2433,024,40,77,1163495,1940200,2001,41.991547834,-87.67397918,"(41.991547834, -87.67397918)"
05/19/2001,12:00:00 PM,086XX S EXCHANGE AVE,OTHER OFFENSE,VEHICLE NON-COMMERCIAL,0,0,0423,004,10,46,1197265,1848449,2001,41.739000869,-87.552834512,"(41.739000869, -87.552834512)"
08/24/2001,09:00:00 AM,043XX S PRINCETON AVE,THEFT,APARTMENT,0,0,0935,009,3,37,1175051,1876073,2001,41.815328192,-87.633397893,"(41.815328192, -87.633397893)"
06/20/2001,12:00:00 PM,065XX S DR MARTIN LUTHER KING JR DR,THEFT,RESIDENCE,0,0,0312,003,20,69,1180009,1861569,2001,41.775415643,-87.615655462,"(41.775415643, -87.615655462)"
11/01/2001,12:00:00 AM,037XX N RIDGEWAY AVE,CRIM SEXUAL ASSAULT,RESIDENCE,1,0,1732,017,39,16,1150679,1924892,2001,41.94980277,-87.721522346,"(41.94980277, -87.721522346)"
01/01/2001,12:00:00 AM,004XX W 126TH PL,THEFT,RESIDENCE,0,0,0523,005,9,53,1175398,1821071,2001,41.664387922,-87.633765126,"(41.664387922, -87.633765126)"
01/01/2001,12:00:00 PM,034XX W 61ST ST,THEFT,RESIDENCE,0,0,0823,008,16,66,1154196,1863990,2001,41.782611395000004,-87.710219152,"(41.782611395, -87.710219152)"
04/30/2001,03:00:00 PM,074XX S EAST END AVE,THEFT,RESIDENCE,0,0,0324,003,8,43,1188789,1855843,2001,41.759497442,-87.5836524,"(41.759497442, -87.5836524)"
01/05/2001,02:20:00 PM,026XX N WASHTENAW AVE,THEFT,RESIDENCE,0,0,1411,014,35,22,1157951,1917579,2001,41.929589854,-87.694991432,"(41.929589854, -87.694991432)"
01/01/2001,09:00:00 AM,053XX W WRIGHTWOOD AVE,THEFT,APARTMENT,0,0,2515,025,31,19,1140117,1916732,2001,41.927611239,-87.760547879,"(41.927611239, -87.760547879)"
11/01/2001,12:00:00 AM,037XX W 57TH PL,THEFT,RESIDENCE,0,0,0822,008,14,62,1152105,1866250,2001,41.788854505,-87.717826147,"(41.788854505, -87.717826147)"
06/01/2001,12:00:00 AM,006XX W 105TH ST,THEFT,RESIDENCE,0,0,2233,022,34,49,1174025,1835012,2001,41.7026747,-87.63837817,"(41.7026747, -87.63837817)"
01/01/2001,12:00:00 AM,016XX E 79TH ST,DECEPTIVE PRACTICE,BANK,0,0,0411,004,8,43,1188356,1852965,2001,41.751610292,-87.585331018,"(41.751610292, -87.585331018)"
12/31/2001,08:00:00 PM,045XX N KIMBALL AVE,CRIM SEXUAL ASSAULT,APARTMENT,0,0,1723,017,33,14,1152854,1930186,2001,41.964286983,-87.713386478,"(41.964286983, -87.713386478)"
01/01/2001,09:00:00 AM,002XX N LA SALLE ST,THEFT,OTHER,1,0,0113,001,42,32,1175048,1902103,2001,41.886756514,-87.632629772,"(41.886756514, -87.632629772)"
01/01/2001,08:30:00 AM,019XX N ROCKWELL ST,THEFT,RESIDENCE,0,0,1434,014,1,22,1158769,1912706,2001,41.916201235,-87.692119407,"(41.916201235, -87.692119407)"
01/27/2001,08:00:00 AM,094XX S HARVARD AVE,CRIMINAL TRESPASS,RESIDENCE,0,0,0634,006,21,49,NA,NA,2001,NA,NA,NA
05/05/2001,03:06:00 PM,0000X W HURON ST,THEFT,GROCERY FOOD STORE,1,0,1832,018,2,8,NA,NA,2001,NA,NA,NA
03/26/2001,12:00:00 AM,041XX W 21ST PL,DECEPTIVE PRACTICE,RESIDENCE,0,0,1012,010,24,29,NA,NA,2001,NA,NA,NA
11/13/2001,02:00:00 PM,031XX W 111TH ST,OTHER OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,1,2211,022,19,74,NA,NA,2001,NA,NA,NA
02/17/2001,10:00:00 PM,034XX W 63RD ST,CRIMINAL DAMAGE,POLICE FACILITY / VEHICLE PARKING LOT,0,0,0823,008,23,66,NA,NA,2001,NA,NA,NA
01/07/2001,10:00:00 AM,015XX N LUNA AVE,DECEPTIVE PRACTICE,APARTMENT,0,0,2532,025,37,25,NA,NA,2001,NA,NA,NA
05/01/2001,12:00:00 PM,032XX E 87TH ST,THEFT,STREET,0,0,0424,004,10,46,NA,NA,2001,NA,NA,NA
09/09/2001,12:00:00 AM,054XX W CORTEZ ST,DECEPTIVE PRACTICE,RESIDENCE,0,0,1524,015,37,25,NA,NA,2001,NA,NA,NA
03/09/2001,09:00:00 AM,068XX S GREEN ST,DECEPTIVE PRACTICE,STREET,0,0,0723,007,6,68,NA,NA,2001,NA,NA,NA
03/09/2001,10:20:00 PM,051XX W MADISON ST,BATTERY,GAS STATION,0,0,1533,015,28,25,NA,NA,2001,NA,NA,NA
06/30/2001,12:00:00 AM,061XX S KEELER AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,0813,008,13,65,NA,NA,2001,NA,NA,NA
01/13/2001,01:00:00 PM,041XX W CARROLL AVE,MOTOR VEHICLE THEFT,STREET,0,0,1114,011,28,26,NA,NA,2001,NA,NA,NA
07/19/2001,12:00:00 AM,026XX S AVERS AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,1,1,1031,010,22,30,NA,NA,2001,NA,NA,NA
03/01/2001,12:45:00 AM,029XX S DEARBORN ST,BATTERY,CHA APARTMENT,0,1,0133,001,3,35,NA,NA,2001,NA,NA,NA
03/02/2001,10:00:00 AM,028XX W FULTON ST,DECEPTIVE PRACTICE,APARTMENT,0,0,1222,012,27,27,NA,NA,2001,NA,NA,NA
10/25/2001,12:55:00 AM,054XX S WABASH AVE,WEAPONS VIOLATION,STREET,1,0,0225,002,3,40,NA,NA,2001,NA,NA,NA
01/01/2001,08:00:00 AM,041XX N ST LOUIS AVE,SEX OFFENSE,RESIDENCE,1,1,1723,017,33,16,NA,NA,2001,NA,NA,NA
01/01/2001,12:01:00 AM,051XX W GRAND AVE,THEFT,GOVERNMENT BUILDING/PROPERTY,0,0,2522,025,37,19,1142061,1912861,2001,41.916952952,-87.753500533,"(41.916952952, -87.753500533)"
10/22/2001,10:32:00 PM,013XX S CLAREMONT AVE,WEAPONS VIOLATION,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,1233,012,28,28,NA,NA,2001,NA,NA,NA
06/25/2001,12:00:00 AM,016XX W CHICAGO AVE,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,1215,012,1,24,NA,NA,2001,NA,NA,NA
01/29/2001,09:00:00 AM,050XX S INDIANA AVE,DECEPTIVE PRACTICE,RESIDENCE,0,0,0224,002,3,38,NA,NA,2001,NA,NA,NA
11/24/2001,03:45:00 AM,053XX S JUSTINE ST,BATTERY,APARTMENT,1,1,0934,009,16,61,NA,NA,2001,NA,NA,NA
08/14/2001,06:28:00 AM,028XX W 36TH PL,CRIMINAL DAMAGE,APARTMENT,0,1,0911,009,12,58,NA,NA,2001,NA,NA,NA
05/29/2001,12:00:00 AM,082XX S MAY ST,BATTERY,APARTMENT,0,1,0613,006,21,71,NA,NA,2001,NA,NA,NA
11/16/2001,12:01:00 AM,053XX S OAK PARK AVE,CRIMINAL DAMAGE,SCHOOL - PUBLIC BUILDING,0,0,0811,008,23,56,NA,NA,2001,NA,NA,NA
09/20/2001,02:00:00 PM,026XX W GEORGE ST,CRIMINAL DAMAGE,RESIDENCE,0,0,1411,014,33,21,NA,NA,2001,NA,NA,NA
07/01/2001,12:00:00 AM,008XX N SPRINGFIELD AVE,SEX OFFENSE,ALLEY,1,0,1112,011,37,23,NA,NA,2001,NA,NA,NA
06/08/2001,12:00:00 AM,024XX W ESTES AVE,DECEPTIVE PRACTICE,STREET,0,0,2411,024,50,2,NA,NA,2001,NA,NA,NA
07/05/2001,12:00:00 AM,014XX N AVERS AVE,OFFENSE INVOLVING CHILDREN,APARTMENT,0,1,2535,025,26,23,NA,NA,2001,NA,NA,NA
06/03/2001,12:00:00 AM,0000X E GRAND AVE,THEFT,DEPARTMENT STORE,1,0,1834,018,42,8,NA,NA,2001,NA,NA,NA
05/01/2001,12:00:00 PM,054XX N CALIFORNIA AVE,SEX OFFENSE,HOSPITAL BUILDING / GROUNDS,0,0,2011,020,39,4,NA,NA,2001,NA,NA,NA
05/16/2001,10:03:00 AM,020XX N CLYBOURN AVE,DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,0,0,1811,018,2,7,NA,NA,2001,NA,NA,NA
10/01/2001,12:00:00 AM,076XX W DEVON AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,1612,016,41,9,NA,NA,2001,NA,NA,NA
03/18/2001,02:40:00 PM,019XX W 18TH ST,BATTERY,SCHOOL - PUBLIC BUILDING,0,0,1234,012,25,31,NA,NA,2001,NA,NA,NA
04/20/2001,06:00:00 PM,049XX N DAMEN AVE,BURGLARY,APARTMENT,0,0,2032,020,47,4,NA,NA,2001,NA,NA,NA
05/29/2001,03:14:00 AM,080XX S PRINCETON AVE,STALKING,RESIDENCE,0,1,0623,006,17,44,NA,NA,2001,NA,NA,NA
08/09/2001,11:00:00 AM,025XX W MEDILL AVE,DECEPTIVE PRACTICE,RESIDENCE,0,0,1431,014,1,22,NA,NA,2001,NA,NA,NA
04/15/2001,12:00:00 AM,052XX W DAKIN ST,DECEPTIVE PRACTICE,RESIDENCE,0,0,1634,016,45,15,NA,NA,2001,NA,NA,NA
06/21/2001,11:00:00 AM,038XX S KEDZIE AVE,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,0911,009,12,58,NA,NA,2001,NA,NA,NA
11/19/2001,12:00:00 AM,043XX W 79TH PL,DECEPTIVE PRACTICE,RESIDENCE,0,0,0834,008,18,70,NA,NA,2001,NA,NA,NA
11/28/2001,12:01:00 AM,0000X W KINZIE ST,BATTERY,HOTEL / MOTEL,0,1,1831,018,42,8,NA,NA,2001,NA,NA,NA
04/21/2001,01:58:00 PM,008XX N STATE ST,BATTERY,CTA PLATFORM,0,0,1832,018,42,8,NA,NA,2001,NA,NA,NA
01/01/2001,12:00:00 AM,035XX W ARTHINGTON ST,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,1133,011,24,27,NA,NA,2001,NA,NA,NA
07/28/2001,08:00:00 PM,028XX N LEAVITT ST,OTHER OFFENSE,APARTMENT,0,0,1931,019,32,5,NA,NA,2001,NA,NA,NA
06/01/2001,05:00:00 PM,040XX W 40TH ST,DECEPTIVE PRACTICE,STREET,0,0,0815,008,14,57,NA,NA,2001,NA,NA,NA
08/30/2001,12:00:00 PM,021XX W 22ND PL,DECEPTIVE PRACTICE,APARTMENT,0,0,1034,010,25,31,NA,NA,2001,NA,NA,NA
08/16/2001,12:00:00 AM,080XX S ELIZABETH ST,DECEPTIVE PRACTICE,RESIDENCE,0,0,0612,006,17,71,NA,NA,2001,NA,NA,NA
09/24/2001,12:00:00 AM,032XX W 38TH ST,OFFENSE INVOLVING CHILDREN,RESIDENCE,1,1,0911,009,12,58,NA,NA,2001,NA,NA,NA
07/25/2001,12:00:00 AM,015XX N SEDGWICK ST,DECEPTIVE PRACTICE,OTHER (SPECIFY),0,0,1821,018,2,8,NA,NA,2001,NA,NA,NA
07/05/2001,12:00:00 AM,014XX N AVERS AVE,SEX OFFENSE,APARTMENT,0,1,2535,025,26,23,NA,NA,2001,NA,NA,NA
01/31/2001,09:00:00 PM,030XX N LECLAIRE AVE,MOTOR VEHICLE THEFT,STREET,0,0,2521,025,31,19,NA,NA,2001,NA,NA,NA
04/01/2001,12:00:00 PM,001XX E ONTARIO ST,BATTERY,RESTAURANT,0,0,1834,018,42,8,NA,NA,2001,NA,NA,NA
01/01/2001,12:00:00 PM,018XX W CULLERTON ST,DECEPTIVE PRACTICE,RESIDENCE,0,0,1234,012,25,31,NA,NA,2001,NA,NA,NA
03/23/2001,12:39:00 AM,036XX W OGDEN AVE,WEAPONS VIOLATION,STREET,1,0,1014,010,24,29,NA,NA,2001,NA,NA,NA
11/17/2001,01:30:00 AM,031XX S WENTWORTH AVE,MOTOR VEHICLE THEFT,STREET,0,0,0915,009,11,34,NA,NA,2001,NA,NA,NA
04/01/2001,12:00:00 AM,041XX N KEDVALE AVE,DECEPTIVE PRACTICE,APARTMENT,0,0,1722,017,39,16,NA,NA,2001,NA,NA,NA
03/01/2001,12:30:00 AM,003XX W CHICAGO AVE,BATTERY,BAR OR TAVERN,0,0,1823,018,27,8,NA,NA,2001,NA,NA,NA
01/29/2001,01:30:00 AM,001XX W KINZIE ST,THEFT,BAR OR TAVERN,0,0,1831,018,42,8,NA,NA,2001,NA,NA,NA
10/14/2001,08:22:00 PM,053XX W CRYSTAL ST,DECEPTIVE PRACTICE,RESIDENCE,0,0,2532,025,37,25,NA,NA,2001,NA,NA,NA
02/06/2001,12:30:00 AM,049XX S LAPORTE AVE,BATTERY,RESIDENCE,0,1,0814,008,22,56,NA,NA,2001,NA,NA,NA
01/29/2001,11:00:00 AM,044XX S EVANS AVE,BATTERY,SCHOOL - PUBLIC BUILDING,0,0,0221,002,3,38,NA,NA,2001,NA,NA,NA
10/20/2001,09:00:00 AM,016XX S RACINE AVE,THEFT,RESIDENCE,0,0,1235,012,25,31,NA,NA,2001,NA,NA,NA
01/06/2001,09:20:00 AM,002XX W 28TH PL,BATTERY,STREET,0,1,0914,009,11,34,NA,NA,2001,NA,NA,NA
08/20/2001,12:01:00 AM,022XX N KEELER AVE,OFFENSE INVOLVING CHILDREN,APARTMENT,1,1,2522,025,35,20,NA,NA,2001,NA,NA,NA
02/03/2001,11:00:00 AM,056XX W HIGGINS AVE,DECEPTIVE PRACTICE,APARTMENT,0,0,1622,016,45,11,NA,NA,2001,NA,NA,NA
11/21/2001,09:00:00 AM,016XX W SCHOOL ST,DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,0,0,1922,019,32,6,NA,NA,2001,NA,NA,NA
09/26/2001,12:00:00 AM,002XX N KENNETH AVE,THEFT,APARTMENT,1,0,1113,011,28,26,NA,NA,2001,NA,NA,NA
11/04/2001,03:38:00 PM,015XX N LAWNDALE AVE,DECEPTIVE PRACTICE,RESIDENCE,0,0,2535,025,26,23,NA,NA,2001,NA,NA,NA
11/27/2001,09:51:00 PM,026XX W MONROE ST,CRIMINAL DAMAGE,APARTMENT,0,0,1125,011,27,27,NA,NA,2001,NA,NA,NA
11/01/2001,12:01:00 AM,076XX S RHODES AVE,DECEPTIVE PRACTICE,OTHER,0,0,0624,006,6,69,1181268,1854436,2001,41.755813037,-87.61125967,"(41.755813037, -87.61125967)"
08/01/2001,10:00:00 AM,045XX N CLARENDON AVE,THEFT,APARTMENT,0,0,2313,019,46,3,1170047,1930641,2001,41.965176761,-87.650159645,"(41.965176761, -87.650159645)"
10/01/2001,12:01:00 AM,0000X E 126TH ST,CRIM SEXUAL ASSAULT,RESIDENCE,0,0,0532,005,9,53,1178783,1821086,2001,41.664353018,-87.621377078,"(41.664353018, -87.621377078)"
11/30/2001,12:00:00 PM,054XX S CLAREMONT AVE,THEFT,APARTMENT,0,0,0915,009,16,63,1161816,1868348,2001,41.794415397,-87.682160789,"(41.794415397, -87.682160789)"
11/21/2001,09:00:00 AM,046XX S ALBANY AVE,THEFT,RESIDENCE,0,0,0912,009,14,58,1156438,1873894,2001,41.80974447,-87.701732453,"(41.80974447, -87.701732453)"
01/01/2001,12:00:00 PM,037XX W ARTHINGTON ST,THEFT,RESIDENCE,0,0,1133,011,24,29,1151753,1895742,2001,41.869791353,-87.718342698,"(41.869791353, -87.718342698)"
12/17/2001,12:00:00 AM,075XX S DREXEL AVE,THEFT,RESIDENCE,0,0,0624,006,8,69,1183579,1855134,2001,41.757674881,-87.60276876,"(41.757674881, -87.60276876)"
12/01/2001,12:00:00 PM,006XX N LATROBE AVE,THEFT,RESIDENCE,0,0,1524,015,28,25,1141289,1903677,2001,41.891765289,-87.756563762,"(41.891765289, -87.756563762)"
01/11/2001,12:00:00 AM,065XX N SHERIDAN RD,THEFT,"SCHOOL, PRIVATE, BUILDING",0,0,2432,024,49,1,1167110,1943647,2001,42.000929328,-87.660582638,"(42.000929328, -87.660582638)"
08/15/2001,12:00:00 PM,029XX N GRESHAM AVE,OTHER OFFENSE,RESIDENCE,0,0,1412,014,35,21,1152262,1919493,2001,41.934956346,-87.715846355,"(41.934956346, -87.715846355)"
02/20/2001,12:01:00 AM,016XX E 83RD ST,THEFT,RESIDENCE,0,0,0411,004,8,45,1188526,1850311,2001,41.744323408,-87.584792666,"(41.744323408, -87.584792666)"
08/02/2001,09:00:00 AM,047XX S LAPORTE AVE,THEFT,RESIDENCE,0,0,0814,008,23,56,1144120,1872655,2001,41.806583997,-87.746944608,"(41.806583997, -87.746944608)"
01/01/2001,12:01:00 AM,046XX W MC LEAN AVE,CRIM SEXUAL ASSAULT,APARTMENT,1,1,2522,025,31,19,1145123,1913260,2001,41.917990489,-87.742240531,"(41.917990489, -87.742240531)"
06/25/2001,03:00:00 PM,021XX W 68TH PL,THEFT,RESIDENCE,0,0,0726,007,17,67,1163355,1859172,2001,41.76920311,-87.676774223,"(41.76920311, -87.676774223)"
