Date,Time,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
11/13/2001,11:30:00 AM,133XX S BALTIMORE AVE,MOTOR VEHICLE THEFT,OTHER,0,0,0433,004,10,55,1199144,1816741,2001,41.651944134,-87.547010923,"(41.651944134, -87.547010923)"
11/25/2001,09:00:00 AM,065XX S CICERO AVE,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,0833,008,13,64,1145553,1860796,2001,41.774014026,-87.741987932,"(41.774014026, -87.741987932)"
11/28/2001,09:24:00 PM,100XX W OHARE ST,DECEPTIVE PRACTICE,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/23/2001,10:00:00 AM,100XX W OHARE ST,CRIMINAL DAMAGE,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/28/2001,05:31:00 AM,073XX S EXCHANGE AVE,CRIMINAL DAMAGE,SMALL RETAIL STORE,0,0,0334,003,7,43,1194411,1857014,2001,41.762574461,-87.563009859,"(41.762574461, -87.563009859)"
12/05/2001,01:30:00 PM,022XX S STATE ST,BATTERY,RESIDENCE,1,1,0134,001,3,33,1176630,1889325,2001,41.851657294,-87.627206314,"(41.851657294, -87.627206314)"
11/15/2001,10:15:43 AM,121XX S HALSTED ST,OTHER OFFENSE,OTHER,0,0,0523,005,34,53,1173220,1824527,2001,41.673919999,-87.641634148,"(41.673919999, -87.641634148)"
12/10/2001,01:00:00 AM,074XX S DREXEL AVE,MOTOR VEHICLE THEFT,STREET,0,0,0323,003,8,69,1183560,1855838,2001,41.759607171,-87.602816483,"(41.759607171, -87.602816483)"
11/03/2001,04:45:00 PM,100XX W OHARE FIELD,NARCOTICS,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,NA,NA,2001,NA,NA,NA
10/08/2001,12:01:00 AM,100XX W OHARE ST,OTHER OFFENSE,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/26/2001,05:05:00 PM,100XX W OHARE FIELD,CRIMINAL TRESPASS,CTA PLATFORM,1,0,1651,016,NA,76,NA,NA,2001,NA,NA,NA
11/04/2001,12:07:00 AM,092XX S BISHOP ST,BATTERY,STREET,0,0,2222,022,21,73,1168322,1843701,2001,41.726643051,-87.659011931,"(41.726643051, -87.659011931)"
12/31/2001,10:45:00 PM,065XX S TROY ST,MOTOR VEHICLE THEFT,STREET,0,0,0831,008,15,66,1156475,1860992,2001,41.774338817,-87.701944292,"(41.774338817, -87.701944292)"
11/21/2001,11:00:00 AM,100XX W OHARE ST,ASSAULT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/13/2001,01:10:00 PM,100XX W OHARE ST,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),1,0,1651,016,NA,76,NA,NA,2001,NA,NA,NA
10/16/2001,03:32:00 PM,100XX W OHARE ST,MOTOR VEHICLE THEFT,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/19/2001,08:05:00 PM,100XX W OHARE ST,BATTERY,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/14/2001,11:30:00 PM,045XX N WHIPPLE ST,MOTOR VEHICLE THEFT,STREET,0,0,1724,017,33,14,1155192,1929921,2001,41.963513066,-87.704797435,"(41.963513066, -87.704797435)"
12/13/2001,09:00:00 PM,100XX W OHARE ST,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/10/2001,03:00:00 AM,086XX S PHILLIPS AVE,MOTOR VEHICLE THEFT,STREET,0,0,0423,004,7,46,1193962,1847881,2001,41.737523793,-87.564954412,"(41.737523793, -87.564954412)"
11/16/2001,02:00:00 PM,100XX W OHARE ST,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/26/2001,11:08:00 AM,100XX W OHARE ST,CRIMINAL TRESPASS,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/18/2001,07:20:00 AM,100XX W OHARE ST,NARCOTICS,HOTEL/MOTEL,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/29/2001,03:30:00 PM,006XX E 75TH ST,MOTOR VEHICLE THEFT,STREET,1,0,0323,003,6,69,1181594,1855453,2001,41.758596278,-87.610033631,"(41.758596278, -87.610033631)"
11/04/2001,02:00:00 PM,053XX S MARSHFIELD AVE,MOTOR VEHICLE THEFT,STREET,0,0,0932,009,16,61,1166208,1869333,2001,41.797025934,-87.666027387,"(41.797025934, -87.666027387)"
11/19/2001,08:30:00 PM,100XX W OHARE ST,NARCOTICS,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/27/2001,12:01:00 AM,052XX S SPRINGFIELD AVE,MOTOR VEHICLE THEFT,STREET,0,0,0822,008,23,62,1151294,1869672,2001,41.798260881,-87.720710422,"(41.798260881, -87.720710422)"
12/12/2001,05:00:00 PM,091XX S URBAN AVE,MOTOR VEHICLE THEFT,STREET,0,0,0634,006,6,49,1178030,1844044,2001,41.727370096,-87.623440266,"(41.727370096, -87.623440266)"
12/26/2001,10:00:00 AM,052XX N NORTHWEST HWY,MOTOR VEHICLE THEFT,STREET,0,0,1623,016,45,11,NA,NA,2001,NA,NA,NA
12/05/2001,10:45:00 PM,100XX W OHARE ST,ASSAULT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/25/2001,08:27:06 PM,008XX E 86TH ST,MOTOR VEHICLE THEFT,STREET,1,0,0632,006,8,44,1183309,1848174,2001,41.73858219,-87.603974481,"(41.73858219, -87.603974481)"
12/22/2001,05:00:00 PM,021XX W CULLERTON ST,MOTOR VEHICLE THEFT,STREET,0,0,1223,012,25,31,1162284,1890343,2001,41.854762438,-87.679831152,"(41.854762438, -87.679831152)"
11/25/2001,06:00:00 AM,100XX W OHARE ST,CRIMINAL DAMAGE,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/24/2001,12:30:00 PM,100XX W OHARE FIELD,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,NA,NA,2001,NA,NA,NA
10/29/2001,08:48:00 PM,100XX W OHARE ST,DECEPTIVE PRACTICE,PARKING LOT/GARAGE(NON.RESID.),0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
